memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department13.University75.edu/GraduateStudent66|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department2.University62.edu|takesCourse.o=http://www.Department2.University62.edu/Course18,26
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|publicationAuthor.s=http://www.Department13.University69.edu/FullProfessor2/Publication18,1
type|name,type.s=name.s,|name.o=UndergraduateStudent152,4014
member|publicationAuthor,member.o=publicationAuthor.o,member.s=http://www.Department17.University42.edu|,714
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department3.University79.edu/Course11|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,31
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent121|memberOf.o=http://www.Department11.University83.edu,1
member|advisor,member.o=advisor.o,|advisor.s=http://www.Department10.University28.edu/UndergraduateStudent100,1
advisor|telephone,advisor.o=telephone.s,advisor.s=http://www.Department19.University33.edu/UndergraduateStudent324|telephone.o=xxx-xxx-xxxx,1
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent458|takesCourse.o=http://www.Department3.University82.edu/Course6,1
telephone|member,telephone.s=member.o,telephone.o=xxx-xxx-xxxx|,1120834
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|takesCourse.o=http://www.Department0.University78.edu/Course40,32
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department14.University65.edu/Course36|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,18
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department6.University17.edu/Course24|,70
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|publicationAuthor.s=http://www.Department17.University66.edu/AssociateProfessor10/Publication1,1
member|name,member.s=name.s,member.o=http://www.Department6.University49.edu/UndergraduateStudent235|name.o=Department6,1
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department11.University23.edu|takesCourse.o=http://www.Department11.University23.edu/GraduateCourse44,6
name|type,name.s=type.s,name.o=UndergraduateStudent492|,342
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department1.University86.edu/Course46,21
takesCourse|hasAlumnus,takesCourse.s=hasAlumnus.o,takesCourse.o=http://www.Department4.University79.edu/GraduateCourse12|hasAlumnus.s=http://www.University989.edu,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|,2894749
takesCourse|telephone,takesCourse.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2894749
name|degreeFrom,name.s=degreeFrom.s,|degreeFrom.o=http://www.University885.edu,461
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,2894749
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department9.University87.edu/Course28,27
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|member.o=http://www.Department4.University13.edu/FullProfessor0,1
type|doctoralDegreeFrom,type.s=doctoralDegreeFrom.o,|doctoralDegreeFrom.s=http://www.Department3.University1.edu/AssociateProfessor6,2
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,2894749
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department6.University79.edu/GraduateCourse26|,25
telephone|advisor,telephone.s=advisor.o,|advisor.s=http://www.Department1.University11.edu/GraduateStudent35,1
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,795970
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department15.University66.edu/UndergraduateStudent235|name.o=Course1,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department12.University59.edu/UndergraduateStudent212,6
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent326|takesCourse.o=http://www.Department7.University94.edu/Course9,1
takesCourse|member,takesCourse.s=member.o,takesCourse.o=http://www.Department17.University15.edu/Course1|,26
name|researchInterest,name.s=researchInterest.s,|researchInterest.o=Research28,1985
memberOf|type,memberOf.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
publicationAuthor|name,publicationAuthor.s=name.s,|name.o=Publication4,111428
undergraduateDegreeFrom|degreeFrom,undergraduateDegreeFrom.o=degreeFrom.o,undergraduateDegreeFrom.s=http://www.Department7.University73.edu/GraduateStudent73|,496
advisor|name,advisor.s=name.s,advisor.o=http://www.Department11.University29.edu/AssociateProfessor12|name.o=GraduateStudent10,1
hasAlumnus|telephone,hasAlumnus.o=telephone.s,|telephone.o=xxx-xxx-xxxx,469226
member|type,member.s=type.s,member.o=http://www.Department13.University38.edu/GraduateStudent75|,2
emailAddress|name,emailAddress.s=name.s,emailAddress.o=GraduateStudent31@Department1.University13.edu|name.o=GraduateStudent31,1
name|member,name.s=member.s,|member.o=http://www.Department10.University39.edu/UndergraduateStudent43,1
emailAddress|telephone,emailAddress.s=telephone.s,emailAddress.o=UndergraduateStudent53@Department15.University10.edu|telephone.o=xxx-xxx-xxxx,1
worksFor|emailAddress,worksFor.s=emailAddress.s,worksFor.o=http://www.Department13.University45.edu|emailAddress.o=FullProfessor2@Department13.University45.edu,1
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department7.University12.edu/FullProfessor1/Publication12|takesCourse.o=http://www.Department7.University12.edu/GraduateCourse17,1
telephone|member,telephone.s=member.o,telephone.o=xxx-xxx-xxxx|member.s=http://www.Department18.University94.edu,640
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|member.s=http://www.Department14.University55.edu,37
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department1.University41.edu/Course54|telephone.o=xxx-xxx-xxxx,25
name|publicationAuthor,name.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department16.University3.edu/FullProfessor4,19
telephone|worksFor,telephone.s=worksFor.s,|worksFor.o=http://www.Department2.University18.edu,37
type|undergraduateDegreeFrom,type.s=undergraduateDegreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|undergraduateDegreeFrom.s=http://www.Department7.University59.edu/GraduateStudent114,1
name|member,name.s=member.o,|member.s=http://www.Department6.University14.edu,617
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department5.University43.edu/GraduateCourse15,7
name|publicationAuthor,name.s=publicationAuthor.o,name.o=Lecturer2|publicationAuthor.s=http://www.Department12.University25.edu/Lecturer2/Publication0,1
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|memberOf.s=http://www.Department14.University43.edu/AssociateProfessor1,1
advisor|telephone,advisor.s=telephone.s,advisor.o=http://www.Department6.University23.edu/AssistantProfessor8|telephone.o=xxx-xxx-xxxx,7
takesCourse|emailAddress,takesCourse.s=emailAddress.s,takesCourse.o=http://www.Department5.University41.edu/Course3|emailAddress.o=UndergraduateStudent287@Department5.University41.edu,1
memberOf|takesCourse,memberOf.s=takesCourse.s,memberOf.o=http://www.Department12.University60.edu|takesCourse.o=http://www.Department12.University60.edu/GraduateCourse20,6
advisor|publicationAuthor,advisor.s=publicationAuthor.o,advisor.o=http://www.Department3.University97.edu/FullProfessor1|,24
emailAddress|name,emailAddress.s=name.s,emailAddress.o=UndergraduateStudent367@Department2.University90.edu|name.o=UndergraduateStudent367,1
type|degreeFrom,type.s=degreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|degreeFrom.s=http://www.Department11.University56.edu/GraduateStudent17,1
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
memberOf|name,memberOf.o=name.s,|name.o=Department20,26760
type|hasAlumnus,type.s=hasAlumnus.o,|hasAlumnus.s=http://www.University545.edu,1662
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department8.University21.edu/UndergraduateStudent243|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,3
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department4.University82.edu/Course1|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,16
telephone|type,telephone.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
publicationAuthor|memberOf,publicationAuthor.o=memberOf.s,publicationAuthor.s=http://www.Department14.University82.edu/AssociateProfessor2/Publication8|memberOf.o=http://www.Department14.University82.edu,2
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department17.University9.edu/GraduateStudent75|name.o=Department17,1
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent336@Department13.University49.edu|takesCourse.o=http://www.Department13.University49.edu/Course1,1
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department0.University1.edu/AssistantProfessor2|,9
name|degreeFrom,name.s=degreeFrom.o,name.o=University14|degreeFrom.s=http://www.Department0.University86.edu/GraduateStudent68,1
member|type,member.s=type.s,member.o=http://www.Department15.University22.edu/UndergraduateStudent354|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
member|name,member.o=name.s,member.s=http://www.Department5.University57.edu|name.o=GraduateStudent20,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department13.University17.edu/Course31|,50
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|takesCourse.o=http://www.Department13.University41.edu/Course45,28
member|type,member.o=type.s,member.s=http://www.Department5.University55.edu|,1629
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department7.University2.edu/GraduateCourse45|,19
emailAddress|takesCourse,emailAddress.s=takesCourse.s,|takesCourse.o=http://www.Department22.University17.edu/GraduateCourse33,4
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department7.University70.edu/UndergraduateStudent79,3
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department11.University46.edu/Course49|,28
memberOf|member,memberOf.s=member.o,memberOf.o=http://www.Department19.University15.edu|member.s=http://www.Department19.University15.edu,457
name|advisor,name.s=advisor.o,|advisor.s=http://www.Department16.University91.edu/GraduateStudent72,1
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department15.University57.edu/Course40|name.o=UndergraduateStudent522,1
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,252562
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department2.University83.edu/UndergraduateStudent78|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,2
name|takesCourse,name.s=takesCourse.o,name.o=Course3|,44543
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent530|takesCourse.o=http://www.Department12.University6.edu/Course20,1
takesCourse|memberOf,takesCourse.s=memberOf.s,takesCourse.o=http://www.Department6.University15.edu/Course19|,33
type|advisor,type.s=advisor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|advisor.o=http://www.Department11.University72.edu/AssistantProfessor8,2
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department8.University52.edu/UndergraduateStudent288,2
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|member.o=http://www.Department2.University88.edu/UndergraduateStudent108,1
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department4.University72.edu/Course6,24
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|name.o=Publication10,38372
takesCourse|name,takesCourse.s=name.s,|name.o=GraduateStudent68,4003
name|telephone,name.s=telephone.s,name.o=GraduateStudent33|,2007
member|name,member.o=name.s,|name.o=UndergraduateStudent393,1024
takesCourse|member,takesCourse.s=member.o,takesCourse.o=http://www.Department8.University42.edu/Course53|member.s=http://www.Department8.University42.edu,25
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department3.University28.edu/UndergraduateStudent308|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,3
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department21.University11.edu/UndergraduateStudent100|,2
name|type,name.s=type.s,name.o=UndergraduateStudent325|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,1639
name|type,name.s=type.s,name.o=AssociateProfessor4|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,2007
type|memberOf,type.s=memberOf.s,|memberOf.o=http://www.Department17.University21.edu,1307
publicationAuthor|advisor,publicationAuthor.o=advisor.o,|advisor.s=http://www.Department6.University8.edu/GraduateStudent75,6
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department7.University93.edu|name.o=UndergraduateStudent30,1
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
type|name,type.s=name.s,|name.o=UndergraduateStudent183,4014
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,808741
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|memberOf.o=http://www.Department4.University52.edu,134
name|publicationAuthor,name.s=publicationAuthor.o,name.o=GraduateStudent43|publicationAuthor.s=http://www.Department3.University19.edu/AssistantProfessor8/Publication0,1
type|telephone,type.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2828648
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department15.University37.edu/UndergraduateStudent48|,6
hasAlumnus|takesCourse,hasAlumnus.o=takesCourse.s,hasAlumnus.s=http://www.University634.edu|,444
hasAlumnus|name,hasAlumnus.o=name.s,|name.o=AssociateProfessor8,6016
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,795970
type|name,type.s=name.s,|name.o=UndergraduateStudent345,2898
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department4.University41.edu/GraduateCourse31|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,9
name|undergraduateDegreeFrom,name.s=undergraduateDegreeFrom.o,name.o=University73|,328
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department0.University50.edu/Course44|telephone.o=xxx-xxx-xxxx,24
name|publicationAuthor,name.s=publicationAuthor.s,name.o=Publication9|publicationAuthor.o=http://www.Department21.University91.edu/GraduateStudent72,2
publicationAuthor|name,publicationAuthor.o=name.s,publicationAuthor.s=http://www.Department7.University39.edu/FullProfessor3/Publication6|name.o=FullProfessor3,1
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department9.University26.edu/AssociateProfessor5,12
type|subOrganizationOf,type.s=subOrganizationOf.s,|subOrganizationOf.o=http://www.University18.edu,674
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department10.University9.edu/Course31,18
emailAddress|telephone,emailAddress.s=telephone.s,emailAddress.o=GraduateStudent27@Department10.University29.edu|telephone.o=xxx-xxx-xxxx,1
name|doctoralDegreeFrom,name.s=doctoralDegreeFrom.s,name.o=AssociateProfessor7|,2007
name|member,name.s=member.o,name.o=UndergraduateStudent185|member.s=http://www.Department0.University65.edu,1
name|type,name.s=type.s,name.o=Publication3|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,64343
name|memberOf,name.s=memberOf.s,|memberOf.o=http://www.Department10.University70.edu,636
teachingAssistantOf|type,teachingAssistantOf.o=type.s,teachingAssistantOf.s=http://www.Department3.University67.edu/GraduateStudent35|,2
type|doctoralDegreeFrom,type.s=doctoralDegreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Lecturer|doctoralDegreeFrom.o=http://www.University253.edu,9
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department12.University97.edu/GraduateStudent91,1
takesCourse|type,takesCourse.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2894749
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor|publicationAuthor.s=http://www.Department4.University11.edu/FullProfessor0/Publication6,1
member|name,member.o=name.s,member.s=http://www.Department1.University28.edu|,667
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,|hasAlumnus.s=http://www.University321.edu,3302
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department11.University27.edu/Course39,24
undergraduateDegreeFrom|type,undergraduateDegreeFrom.s=type.s,undergraduateDegreeFrom.o=http://www.University230.edu|,1090
member|name,member.o=name.s,|name.o=UndergraduateStudent328,1605
hasAlumnus|member,hasAlumnus.o=member.o,hasAlumnus.s=http://www.University596.edu|member.s=http://www.Department7.University86.edu,1
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department8.University73.edu/Lecturer2/Publication2|,6
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department22.University55.edu/GraduateStudent75|,6
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|name.o=AssistantProfessor8,1515
type|advisor,type.s=advisor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|advisor.s=http://www.Department17.University55.edu/GraduateStudent3,1
telephone|memberOf,telephone.s=memberOf.s,telephone.o=xxx-xxx-xxxx|memberOf.o=http://www.Department8.University30.edu,590
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department21.University12.edu/AssistantProfessor2|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
takesCourse|type,takesCourse.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,2389201
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|,2894749
telephone|hasAlumnus,telephone.s=hasAlumnus.o,telephone.o=xxx-xxx-xxxx|hasAlumnus.s=http://www.University721.edu,468
name|type,name.s=type.s,name.o=GraduateStudent12|,7644
type|memberOf,type.s=memberOf.o,|memberOf.s=http://www.Department15.University36.edu/AssociateProfessor1,2
emailAddress|type,emailAddress.s=type.s,emailAddress.o=UndergraduateStudent326@Department8.University15.edu|,2
takesCourse|undergraduateDegreeFrom,takesCourse.s=undergraduateDegreeFrom.s,|undergraduateDegreeFrom.o=http://www.University390.edu,518
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|memberOf.s=http://www.Department2.University54.edu/GraduateStudent36,1
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,1442184
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department18.University85.edu|,1223
publicationAuthor|name,publicationAuthor.o=name.s,publicationAuthor.s=http://www.Department21.University42.edu/FullProfessor2/Publication10|name.o=GraduateStudent90,1
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|memberOf.o=http://www.Department1.University51.edu,125
emailAddress|telephone,emailAddress.s=telephone.s,|telephone.o=xxx-xxx-xxxx,1120834
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department9.University62.edu/UndergraduateStudent274,4
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent437@Department11.University28.edu|takesCourse.o=http://www.Department11.University28.edu/Course36,1
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent261@Department5.University57.edu|takesCourse.o=http://www.Department5.University57.edu/Course15,1
memberOf|emailAddress,memberOf.s=emailAddress.s,memberOf.o=http://www.Department3.University73.edu|emailAddress.o=UndergraduateStudent96@Department3.University73.edu,1
name|publicationAuthor,name.s=publicationAuthor.o,name.o=FullProfessor4|publicationAuthor.s=http://www.Department20.University45.edu/FullProfessor4/Publication4,1
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,217148
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department22.University36.edu/UndergraduateStudent37|name.o=Department22,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|takesCourse.o=http://www.Department0.University78.edu/Course28,18
name|type,name.s=type.s,name.o=Course29|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2007
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|takesCourse.o=http://www.Department18.University42.edu/Course40,14
advisor|member,advisor.s=member.o,advisor.o=http://www.Department0.University50.edu/AssociateProfessor5|member.s=http://www.Department0.University50.edu,5
member|name,member.s=name.s,member.o=http://www.Department15.University83.edu/UndergraduateStudent347|,1
telephone|degreeFrom,telephone.s=degreeFrom.s,telephone.o=xxx-xxx-xxxx|,469226
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|publicationAuthor.s=http://www.Department8.University26.edu/FullProfessor1/Publication8,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor|publicationAuthor.s=http://www.Department13.University37.edu/FullProfessor4/Publication9,1
degreeFrom|publicationAuthor,degreeFrom.s=publicationAuthor.o,degreeFrom.o=http://www.University698.edu|,3450
advisor|takesCourse,advisor.s=takesCourse.s,advisor.o=http://www.Department21.University36.edu/AssistantProfessor1|,18
member|memberOf,member.s=memberOf.o,member.o=http://www.Department9.University24.edu/AssociateProfessor0|,535
name|emailAddress,name.s=emailAddress.s,|emailAddress.o=UndergraduateStudent292@Department0.University18.edu,1
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department1.University20.edu/AssociateProfessor8|,16
name|takesCourse,name.s=takesCourse.o,name.o=GraduateCourse34|takesCourse.s=http://www.Department11.University19.edu/GraduateStudent139,1
name|type,name.s=type.s,name.o=AssistantProfessor7|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,2007
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department10.University91.edu/UndergraduateStudent451|name.o=Course54,1
name|memberOf,name.s=memberOf.s,|memberOf.o=http://www.Department2.University12.edu,435
hasAlumnus|type,hasAlumnus.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,469226
name|teacherOf,name.s=teacherOf.s,|teacherOf.o=http://www.Department18.University26.edu/GraduateCourse39,1
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department7.University19.edu/AssistantProfessor5|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,9
advisor|hasAlumnus,advisor.o=hasAlumnus.o,|hasAlumnus.s=http://www.University788.edu,1494
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department4.University63.edu/Course36,44
mastersDegreeFrom|advisor,mastersDegreeFrom.s=advisor.o,|advisor.s=http://www.Department11.University62.edu/GraduateStudent112,1
degreeFrom|hasAlumnus,degreeFrom.s=hasAlumnus.o,|hasAlumnus.s=http://www.University881.edu,932
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|publicationAuthor.s=http://www.Department5.University69.edu/AssociateProfessor13/Publication9,1
degreeFrom|name,degreeFrom.s=name.s,degreeFrom.o=http://www.University75.edu|name.o=GraduateStudent37,5
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|member.s=http://www.Department15.University69.edu,134
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant|,112124
member|name,member.o=name.s,|name.o=FullProfessor2,2007
member|name,member.s=name.s,member.o=http://www.Department14.University11.edu/UndergraduateStudent336|name.o=Department14,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department0.University61.edu/UndergraduateStudent165,2
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,2389201
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent109|takesCourse.o=http://www.Department18.University92.edu/GraduateCourse32,1
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
type|memberOf,type.s=memberOf.o,|memberOf.s=http://www.Department9.University2.edu/UndergraduateStudent32,2
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department12.University71.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,125
memberOf|member,memberOf.o=member.s,memberOf.s=http://www.Department14.University82.edu/UndergraduateStudent254|,577
type|mastersDegreeFrom,type.s=mastersDegreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|mastersDegreeFrom.o=http://www.University107.edu,63
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|takesCourse.o=http://www.Department13.University93.edu/Course40,20
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|memberOf.o=http://www.Department10.University4.edu,142
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department4.University21.edu/UndergraduateStudent41|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,2
name|degreeFrom,name.s=degreeFrom.o,name.o=University8|,537
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|name.o=UndergraduateStudent263,1997
takesCourse|memberOf,takesCourse.s=memberOf.s,takesCourse.o=http://www.Department15.University46.edu/Course41|,43
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department14.University9.edu/AssociateProfessor6/Publication8|takesCourse.o=http://www.Department14.University9.edu/GraduateCourse17,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department22.University91.edu/Course11|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,23
hasAlumnus|type,hasAlumnus.s=type.s,hasAlumnus.o=http://www.Department18.University16.edu/FullProfessor1|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,3
